Date,Heartrate
2019-10-21 14:43:17,73
2019-10-21 14:43:18,71
2019-10-21 14:43:19,70
2019-10-21 14:43:21,68
2019-10-21 14:43:22,67
2019-10-21 14:43:24,68
2019-10-21 14:43:25,69
2019-10-21 14:43:32,70
2019-10-21 14:43:34,68
2019-10-21 14:43:35,69
2019-10-21 14:43:36,74
2019-10-21 14:43:38,72
2019-10-21 14:43:39,71
2019-10-21 14:43:40,72
2019-10-21 14:43:45,72
2019-10-21 14:43:49,71
2019-10-21 14:43:50,70
2019-10-21 14:43:52,71
2019-10-21 14:43:54,72
2019-10-21 14:43:59,72
2019-10-21 14:44:01,77
2019-10-21 14:44:02,81
2019-10-21 14:44:03,83
2019-10-21 14:44:05,84
2019-10-21 14:44:06,86
2019-10-21 14:44:07,87
2019-10-21 14:44:08,80
2019-10-21 14:44:10,79
2019-10-21 14:44:11,83
2019-10-21 14:44:12,85
2019-10-21 14:44:13,82
2019-10-21 14:44:14,80
2019-10-21 14:44:16,84
2019-10-21 14:44:17,85
2019-10-21 14:44:21,87
2019-10-21 14:44:22,89
2019-10-21 14:44:24,90
2019-10-21 14:44:25,91
2019-10-21 14:44:28,88
2019-10-21 14:44:29,85
2019-10-21 14:44:30,83
2019-10-21 14:44:32,82
2019-10-21 14:44:34,80
2019-10-21 14:44:35,79
2019-10-21 14:44:36,77
2019-10-21 14:44:38,76
2019-10-21 14:44:39,74
2019-10-21 14:44:40,73
2019-10-21 14:44:43,74
2019-10-21 14:44:44,76
2019-10-21 14:44:45,77
2019-10-21 14:44:46,76
2019-10-21 14:44:51,74
2019-10-21 14:44:52,73
2019-10-21 14:44:54,74
2019-10-21 14:44:56,75
2019-10-21 14:44:57,77
2019-10-21 14:44:59,79
2019-10-21 14:45:00,85
2019-10-21 14:45:01,91
2019-10-21 14:45:02,95
2019-10-21 14:45:03,97
2019-10-21 14:45:07,98
2019-10-21 14:45:08,97
2019-10-21 14:45:10,96
2019-10-21 14:45:11,95
2019-10-21 14:45:12,94
2019-10-21 14:45:13,93
2019-10-21 14:45:14,92
2019-10-21 14:45:16,87
2019-10-21 14:45:17,83
2019-10-21 14:45:18,81
2019-10-21 14:45:19,80
2019-10-21 14:45:21,79
2019-10-21 14:45:24,80
2019-10-21 14:45:25,76
2019-10-21 14:45:27,74
2019-10-21 14:45:28,73
2019-10-21 14:45:29,66
2019-10-21 14:45:30,72
2019-10-21 14:45:32,65
2019-10-21 14:45:33,59
2019-10-21 14:45:34,56
2019-10-21 14:45:35,54
2019-10-21 14:45:37,60
2019-10-21 14:45:38,65
2019-10-21 14:45:39,69
2019-10-21 14:45:43,71
2019-10-21 14:45:44,73
2019-10-21 14:45:45,74
2019-10-21 14:45:46,75
2019-10-21 14:45:51,75
2019-10-21 14:45:56,75
2019-10-21 14:46:01,75
2019-10-21 14:46:02,77
2019-10-21 14:46:04,78
2019-10-21 14:46:05,77
2019-10-21 14:46:06,79
2019-10-21 14:46:07,80
2019-10-21 14:46:08,81
2019-10-21 14:46:13,80
2019-10-21 14:46:14,79
2019-10-21 14:46:16,77
2019-10-21 14:46:17,76
2019-10-21 14:46:22,76
2019-10-21 14:46:23,77
2019-10-21 14:46:24,78
2019-10-21 14:46:28,80
2019-10-21 14:46:29,81
2019-10-21 14:46:30,80
2019-10-21 14:46:32,79
2019-10-21 14:46:33,77
2019-10-21 14:46:34,75
2019-10-21 14:46:35,74
2019-10-21 14:46:37,73
2019-10-21 14:46:40,74
2019-10-21 14:46:41,75
2019-10-21 14:46:46,74
2019-10-21 14:46:48,73
2019-10-21 14:46:51,76
2019-10-21 14:46:52,77
2019-10-21 14:46:54,79
2019-10-21 14:46:55,82
2019-10-21 14:46:56,83
2019-10-21 14:46:57,79
2019-10-21 14:46:59,80
2019-10-21 14:47:00,87
2019-10-21 14:47:01,81
2019-10-21 14:47:02,78
2019-10-21 14:47:03,77
2019-10-21 14:47:05,84
2019-10-21 14:47:06,87
2019-10-21 14:47:07,82
2019-10-21 14:47:08,83
2019-10-21 14:47:10,84
2019-10-21 14:47:11,85
2019-10-21 14:47:15,86
2019-10-21 14:47:16,87
2019-10-21 14:47:17,88
2019-10-21 14:47:19,89
2019-10-21 14:47:22,88
2019-10-21 14:47:23,89
2019-10-21 14:47:24,90
2019-10-21 14:47:27,89
2019-10-21 14:47:28,88
2019-10-21 14:47:29,86
2019-10-21 14:47:30,85
2019-10-21 14:47:34,86
2019-10-21 14:47:35,87
2019-10-21 14:47:38,89
2019-10-21 14:47:39,90
2019-10-21 14:47:40,89
2019-10-21 14:47:41,90
2019-10-21 14:47:44,89
2019-10-21 14:47:45,88
2019-10-21 14:47:46,87
2019-10-21 14:47:48,83
2019-10-21 14:47:49,82
2019-10-21 14:47:50,81
2019-10-21 14:47:51,74
2019-10-21 14:47:52,73
